"Here, you can customize the Advanced Lightbox Viewer for displaying the photos on your website. You can also integrate any 3rd party / SocialEngine Core plugin installed on your site to display photos belonging to it in the Advanced Lightbox Viewer.<br /><br />(Note: This integration feature is dependent on the '%1sAdvanced Photo Albums Plugin%2s' and requires it to be installed and enabled on your site. Please install this plugin after downloading it from your Client Area on SocialEngineAddOns. You may purchase this plugin over %3shere%4s.)";"Here, you can customize the Advanced Lightbox Viewer for displaying the photos on your website. You can also integrate any 3rd party / SocialEngine Core plugin installed on your site to display photos belonging to it in the Advanced Lightbox Viewer.<br /><br />(Note: This integration feature is dependent on the '%1sAdvanced Photo Albums Plugin%2s' and requires it to be installed and enabled on your site. Please install this plugin after downloading it from your Client 
Area on SocialEngineAddOns. You may purchase this plugin over %3shere%4s.)"
"Do you want users of your site to be able to view all photos in the Advanced Lighbox Viewer after clicking on their thumbnails? (Selecting 'Yes' will enable the lightbox display for all photo thumbnails on your site which have SocialEngine's core 'thumbs_photo' CSS class applied on them. Plugins that follow SocialEngine's standards use this CSS class on photo thumbnails. If you select 'No' over here, then you will be able to choose below the modules / plugins for which you want the photos to be displayed in the lightbox viewer; for photo thumbnails in the selected modules also the 'thumbs_photo' CSS class should be coming on the photo thumbnails.)";"Do you want users of your site to be able to view all photos in the Advanced Lighbox Viewer after clicking on their thumbnails? (Selecting 'Yes' will enable the lightbox display for all photo thumbnails on your site which have SocialEngine's core 'thumbs_photo' CSS class applied on them. Plugins that follow SocialEngine's standards use this CSS class on photo 
thumbnails. If you select 'No' over here, then you will be able to choose below the modules / plugins for which you want the photos to be displayed in the lightbox viewer; for photo thumbnails in the selected modules also the 'thumbs_photo' CSS class should be coming on the photo thumbnails.)"
"Do you want the ""Make Profile Photo"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to make the photos that they can view as their profile photo.";"Do you want the ""Make Profile Photo"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to make the photos that they can view as their profile photo."
"Do you want the ""Download"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to download the photos that they can view.";"Do you want the ""Download"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to download the photos that they can view."
"Do you want the ""Share"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to share the photos that they can view.";"Do you want the ""Share"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable users to share the photos that they can view."
"Do you want the ""Report"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable logged-in users to report as inappropriate the photos that they can view (Members will also be able to mention the reason why they find the photo inappropriate.).";"Do you want the ""Report"" link to be shown in the Photo Lightbox Viewer below the photos? This link will enable logged-in users to report as inappropriate the photos that they can view (Members will also be able to mention the reason why they find the photo inappropriate.)."
"Photo Title";"Photo Title"
"Do you want the Title of the photos to be shown in the Photo Lightbox Viewer?";"Do you want the Title of the photos to be shown in the Photo Lightbox Viewer?"
"Guidelines for integrating a new module to display photos belonging to it in Advanced Lightbox Viewer.";"Guidelines for integrating a new module to display photos belonging to it in Advanced Lightbox Viewer."
"This item has been deleted.";"This item has been deleted."
