"Do you want users of your site to be able to view photos in the lighbox. (Selecting ‘Yes’ will enable the display of lightbox for all the photos where ‘thumbs_photo.css’ class is included. If you select ‘No’ over here, then you will be able to choose the photos belonging to any module / plugin to be displayed in the lightbox.)";"Do you want users of your site to be able to view photos in the lighbox. (Selecting ‘Yes’ will enable the display of lightbox for all the photos where ‘thumbs_photo.css’ class is included. If you select ‘No’ over here, then you will be able to choose the photos belonging to any module / plugin to be displayed in the lightbox.)"
"Select the modules / plugins for which you want photos belonging to them to be displayed in lightbox.";"Select the modules / plugins for which you want photos belonging to them to be displayed in lightbox."
"Modules / Plugins";"Modules / Plugins"
"Photos Lightbox Background Color";"Photos Lightbox Background Color"
"Select a color for the background of the lightbox displaying photos. (Click on the rainbow below to choose your color.)";"Select a color for the background of the lightbox displaying photos. (Click on the rainbow below to choose your color.)"
"Photos Lightbox Font Color";"Photos Lightbox Font Color"
"Select a font color for the text in the lightbox displaying photos. (Click on the rainbow below to choose your color.)";"Select a font color for the text in the lightbox displaying photos. (Click on the rainbow below to choose your color.)"
"Make Profile Photo";"Make Profile Photo"
"Download";"Download"
"Share";"Share"
"Report as Inappropriate";"Report as Inappropriate"
"Advanced Lightbox";"Advanced Lightbox"
"This widget displays the lightbox on your site. It is recommended to not to remove this widget from the header.";"This widget displays the lightbox on your site. It is recommended to not to remove this widget from the header."
"Do you want Community Ads to be shown in the Advanced Photos Lightbox?";"Do you want Community Ads to be shown in the Advanced Photos Lightbox?"
"What type of Community Ads do you want to be shown in the Advanced Photos Lightbox?";"What type of Community Ads do you want to be shown in the Advanced Photos Lightbox?"
"Photos Lightbox Viewer";"Photos Lightbox Viewer"
"Advanced Lightbox Viewer Settings";"Advanced Lightbox Viewer Settings"
